Methylation,RNA-seq,Proteomics,Proteomics_Detection,RG1_All,RG2_Changes,RG3_Protein,RG4_Detection
Hypermethylation,DOWN,No Change,Significant positive,Hypermethylation + DOWN + Significant positive,MDS+TMDE,TMDE,MDS+TMDE
Hypomethylation,DOWN,No Change,Significant positive,Hypomethylation + DOWN + Significant positive,TPDS+TMDE,TMDE,TPDS+TMDE
No Change,DOWN,No Change,Significant positive,No Change + DOWN + Significant positive,TPDS+TMDE,TMDE,TPDS+TMDE
Hypermethylation,No Change,No Change,Significant positive,Hypermethylation + No Change + Significant positive,None,None,None
Hypomethylation,No Change,No Change,Significant positive,Hypomethylation + No Change + Significant positive,None,None,None
Hypermethylation,UP,No Change,Significant positive,Hypermethylation + UP + Significant positive,TPDE+TMDS,TPDE,TPDE
Hypomethylation,UP,No Change,Significant positive,Hypomethylation + UP + Significant positive,MDE+TMDS,MDE,MDE
No Change,UP,No Change,Significant positive,No Change + UP + Significant positive,TPDE+TMDS,TPDE,TPDE
Hypermethylation,DOWN,UP,UP,Hypermethylation + DOWN + UP,MDS+TMDE,TMDE,MDS+TMDE
Hypomethylation,DOWN,UP,UP,Hypomethylation + DOWN + UP,TPDS+TMDE,TMDE,TPDS+TMDE
No Change,DOWN,UP,UP,No Change + DOWN + UP,TPDS+TMDE,TMDE,TPDS+TMDE
Hypermethylation,No Change,UP,UP,Hypermethylation + No Change + UP,TMDE,TMDE,TMDE
Hypomethylation,No Change,UP,UP,Hypomethylation + No Change + UP,TMDE,TMDE,TMDE
No Change,No Change,UP,UP,No Change + No Change + UP,TMDE,TMDE,TMDE
Hypermethylation,UP,UP,UP,Hypermethylation + UP + UP,TPDE,TPDE,TPDE
Hypomethylation,UP,UP,UP,Hypomethylation + UP + UP,MDE,MDE,MDE
No Change,UP,UP,UP,No Change + UP + UP,TPDE,TPDE,TPDE
